@ref	@lat	@lon
25107:189	49.9926918	14.8463327
25107:190	49.9886132	14.8647672
25107:191	49.9940366	14.859224
25107:193	49.9705708	14.8104822
25107:198	49.9018939	14.8971288
25107:205	49.94425469999999	14.9691055
25107:206	49.9114206	14.9571196
25107:207	49.89970539999999	14.9475373
25107:210	49.94425469999999	14.9691055
25107:211	49.9555545	14.9557512
25107:223	49.9969479	14.9588813
25107:225	50.015651	15.0324652
25107:228	50.0321744	14.9447577
25107:239	49.9715953	14.9166861
25107:24	50.0146658	14.6992889
25107:246	50.0468716	14.7304188
25107:25	49.4707654	15.0016825
25107:252	50.0761663	14.8642921
25107:290	49.9362201	14.5127674
25107:50	49.9225214	14.6393499
25107:86	49.8818564	14.4837721
25107:88	49.9091398	14.4594576
25107:93	49.963712	14.456877
25607:278	49.735078	14.491887
26907:10	50.1046686	13.7352012
26907:100	50.0345601	13.8471931
26907:11	50.1002678	13.7435869
26907:110	50.09316820000001	13.4715172
26907:118	50.1185686	13.484126
26907:12	50.103246	13.7416089
26907:124	50.1292091	13.5440923
26907:127	50.03966080000001	13.6108858
26907:128	50.0020497	13.6163316
26907:13	50.1056162	13.7372781
26907:130	50.0183571	13.6013409
26907:131	50.0068597	13.5827958
26907:136	50.0377711	13.5291753
26907:137	50.0478725	13.488068
26907:14	50.106856	13.7388449
26907:141	50.1078469	13.5939131
26907:145	50.0188444	13.6382468
26907:15	50.1083557	13.7309474
26907:151	50.0515058	13.6984105
26907:152	50.0770758	13.7221919
26907:153	50.0834996	13.7275745
26907:154	50.0667418	13.7068789
26907:16	50.1081122	13.7301532
26907:169	50.1000521	13.7338305
26907:17	50.1080773	13.7152563
26907:181	50.1527227	13.9004377
26907:183	50.1532287	13.9000421
26907:185	50.1392737	13.871108
26907:188	50.1527227	13.9004377
26907:19	50.1075041	13.712457
26907:190	50.1348834	13.9494432
26907:191	50.205191	13.8983319
26907:192	50.1790129	13.923132
26907:193	50.186656	13.9370897
26907:194	50.18489229999999	13.8082444
26907:196	50.18489229999999	13.8082444
26907:2	50.0996475	13.7300779
26907:20	50.10568980000001	13.7185089
26907:201	50.2171709	13.8410319
26907:202	50.21414499999999	13.8587511
26907:203	50.2326706	13.8670479
26907:205	50.2084268	13.841868
26907:209	50.12471129999999	13.9504193
26907:22	50.1043999	13.7252767
26907:26	50.1284973	13.6958613
26907:27	50.09228050000001	13.7444436
26907:28	50.08813989999999	13.8309012
26907:29	50.1465891	13.6371125
26907:3	50.09803489999999	13.7289269
26907:32	50.1231808	13.632602
26907:35	50.108619	13.6452755
26907:36	50.0876347	13.6312068
26907:37	50.0852452	13.6682179
26907:38	50.098181	13.6537279
26907:39	50.11154699999999	13.5489032
26907:4	50.09221360000001	13.7330253
26907:5	50.10007599999999	13.725624
26907:57	50.1843576	13.566916
26907:58	50.1716182	13.5713377
26907:64	50.19425349999999	13.7095191
26907:65	50.19425349999999	13.7095191
26907:66	50.19425349999999	13.7095191
26907:68	50.2108879	13.7159452
26907:69	50.1795657	13.6879093
26907:74	50.067747	13.7735429
26907:75	50.0689568	13.7864821
26907:77	50.0461011	13.757651
26907:78	50.0549604	13.7822099
26907:79	50.0360028	13.7168181
26907:80	50.02348050000001	13.7632095
26907:81	50.0301891	13.735838
26907:85	50.0369666	13.877165
26907:88	50.0369109	13.8768053
26907:9	50.1020616	13.7407198
26907:93	49.97875819999999	13.8850316
27207:10	50.1429155	14.0920439
27207:103	50.1434181	14.0218448
27207:107	50.163377	14.149292
27207:11	50.1416042	14.0925231
27207:111	50.1715437	14.1084584
27207:116	50.1639145	14.1010903
27207:117	50.1269792	14.0180996
27207:118	50.0998751	14.0057587
27207:12	50.1414653	14.0982004
27207:120	50.1626675	13.9836015
27207:121	50.05616939999999	13.9929823
27207:126	50.1029863	14.0454099
27207:127	50.0677514	14.0141647
27207:13	50.1325758	14.1020805
27207:132	50.1483783	13.962915
27207:133	50.1513827	13.9558167
27207:134	50.1397986	13.9654902
27207:138	50.1843696	14.1324388
27207:139	50.1727135	14.0904018
27207:14	50.1671035	14.1545498
27207:145	50.28151949999999	14.2361658
27207:146	50.2843717	14.2564774
27207:149	50.2640144	14.1904741
27207:15	50.13066689999999	14.1105182
27207:154	50.2842357	14.2738692
27207:158	50.3091853	14.1570064
27207:16	50.1369749	14.1020787
27207:160	50.3011446	14.2025032
27207:168	50.1446981	14.2002713
27207:17	50.1420351	14.106594
27207:170	50.1716478	14.1908562
27207:18	50.142642	14.1120941
27207:180	50.1076981	14.1356131
27207:181	50.1076981	14.1356131
27207:187	50.0690758	14.0955839
27207:19	50.1281895	14.1140462
27207:191	50.1093332	14.1160779
27207:192	50.1093003	14.135341
27207:194	49.9604368	15.883777
27207:196	50.1123568	14.0777013
27207:2	50.1432748	14.089445
27207:20	50.1311561	14.1166451
27207:203	50.28533179999999	14.1171046
27207:209	50.298027	14.0696096
27207:21	50.1356165	14.0983922
27207:22	50.1356165	14.0983922
27207:23	50.1319741	14.1271644
27207:25	50.1405975	14.1159545
27207:257	50.2114026	13.9825575
27207:26	50.1442304	14.1108628
27207:27	50.1567225	14.1284259
27207:275	50.24880049999999	14.1820496
27207:277	50.25383799999999	14.1603373
27207:279	50.2414051	14.2057451
27207:28	50.151515	14.1169545
27207:281	50.2338294	14.1871385
27207:290	50.1459358	14.0695535
27207:3	50.1477928	14.0825753
27207:37	50.226429	14.0771003
27207:4	50.1474841	14.0871269
27207:5	50.1406352	14.0668521
27207:6	50.1459358	14.0695535
27207:7	50.1387056	14.0650265
27207:8	50.1406352	14.0668521
27207:86	50.1892296	14.1619979
27207:87	50.1797962	14.1547953
27207:88	50.1797962	14.1547953
27207:89	50.1797962	14.1547953
27207:9	50.1384114	14.0895075
27207:90	50.21038739999999	14.1645183
27207:91	50.2007787	14.1806492
27207:92	50.1992559	14.0724916
27207:93	50.1903644	14.0790464
27207:94	50.1903644	14.0790464
27207:95	50.1758513	14.0910713
27207:96	50.16426200000001	14.087721
27207:97	50.15964049999999	14.0550418
27607:1	50.3469232	14.4857433
27607:179	50.4745432	14.6667609
27607:192	50.310444	14.6113696
27607:214	50.3084762	14.323667
27607:215	50.2898493	14.3221572
27607:216	50.3010568	14.3148601
27607:228	50.2779488	14.3686131
27607:229	50.2970767	14.3969721
